supplier_id,supplier_name,component_name,component_category,supplier_region,country,approved_vendor_status,lead_time_days,sourcing_tier,contract_end_date,moq,sourcing_allocation_cap,headroom_capacity_units,historical_reliability_score,risk_score
SUP-001,Shenzhen FlexCircuit Co.,Flexible Printed Circuits,Interconnect,Shenzhen,China,AVL,21,Tier 1,2027-03-31,5000,0.35,120000,0.92,0.68
SUP-002,Guangzhou Display Tech,OLED Driver ICs,Display Components,Guangzhou,China,AVL,28,Tier 1,2027-06-30,8000,0.30,85000,0.88,0.65
SUP-003,ShenTech Actuator Systems,Camera Actuator Modules,Camera Components,Shenzhen,China,AVL,35,Tier 1,2026-12-31,3000,0.40,60000,0.90,0.72
SUP-004,Taiwan Semiconductor Materials,Gallium Arsenide Wafers,Semiconductor Materials,Hsinchu,Taiwan,AVL,42,Tier 1,2028-01-31,1000,0.25,30000,0.95,0.45
SUP-005,Korea Display Corp,OLED Panels,Display Components,Seoul,South Korea,AVL,30,Tier 1,2027-09-30,2000,0.35,75000,0.94,0.30
SUP-006,Nippon Precision Parts,MLCC Capacitors,Passive Components,Tokyo,Japan,AVL,25,Tier 2,2027-04-30,20000,0.20,200000,0.96,0.22
SUP-007,Malaysia Circuit Assembly,Flexible Printed Circuits,Interconnect,Penang,Malaysia,AVL,28,Tier 2,2027-08-31,4000,0.25,95000,0.85,0.38
SUP-008,Vietnam Electronics Manufacturing,Camera Actuator Modules,Camera Components,Ho Chi Minh City,Vietnam,Non-AVL,30,Tier 3,2026-09-30,2500,0.15,45000,0.72,0.55
SUP-009,Munich Semiconductor GmbH,Power Management ICs,Power Components,Munich,Germany,AVL,45,Tier 2,2028-03-31,1500,0.20,40000,0.93,0.18
SUP-010,Silicon Valley Components Inc,RF Front-End Modules,RF Components,San Jose,United States,AVL,35,Tier 2,2027-12-31,1000,0.20,35000,0.91,0.20
SUP-011,Shanghai Memory Systems,NAND Flash Memory,Memory Components,Shanghai,China,AVL,21,Tier 1,2027-05-31,10000,0.30,150000,0.87,0.62
SUP-012,Taipei Connector Tech,Connector Assemblies,Interconnect,Taipei,Taiwan,AVL,18,Tier 2,2027-07-31,15000,0.20,180000,0.89,0.35
SUP-013,Dongguan Battery Corp,Battery Cells,Power Components,Dongguan,China,AVL,25,Tier 1,2027-02-28,5000,0.35,100000,0.86,0.58
SUP-014,Incheon Display Glass,Display Glass,Display Components,Incheon,South Korea,AVL,30,Tier 1,2028-06-30,3000,0.30,70000,0.93,0.28
SUP-015,Osaka Ceramic Industries,MLCC Capacitors,Passive Components,Osaka,Japan,AVL,28,Tier 1,2027-11-30,25000,0.25,250000,0.97,0.15
SUP-016,Suzhou Precision Circuits,Flexible Printed Circuits,Interconnect,Suzhou,China,Non-AVL,24,Tier 3,2026-11-30,6000,0.15,80000,0.70,0.60
SUP-017,Thai Electronics Solutions,OLED Driver ICs,Display Components,Bangkok,Thailand,AVL,32,Tier 2,2027-10-31,6000,0.20,70000,0.82,0.42
SUP-018,Philippine Semiconductor Inc,Power Management ICs,Power Components,Manila,Philippines,Non-AVL,38,Tier 3,2026-08-31,2000,0.10,25000,0.68,0.58
SUP-019,Czech Precision Components,Connector Assemblies,Interconnect,Prague,Czech Republic,AVL,40,Tier 2,2028-02-28,8000,0.15,90000,0.88,0.25
SUP-020,India Silicon Works,NAND Flash Memory,Memory Components,Bangalore,India,Non-AVL,35,Tier 3,2027-01-31,8000,0.10,60000,0.65,0.52
SUP-021,Shenzhen Optoelectronics,OLED Driver ICs,Display Components,Shenzhen,China,AVL,26,Tier 1,2027-04-30,7000,0.30,90000,0.89,0.70
SUP-022,Kaohsiung Display Systems,OLED Panels,Display Components,Kaohsiung,Taiwan,AVL,33,Tier 2,2027-12-31,1500,0.20,50000,0.90,0.32
SUP-023,Nagoya Actuator Corp,Camera Actuator Modules,Camera Components,Nagoya,Japan,AVL,30,Tier 2,2028-05-31,2000,0.20,55000,0.94,0.20
SUP-024,Dresden Chip Foundry,Gallium Arsenide Wafers,Semiconductor Materials,Dresden,Germany,AVL,50,Tier 2,2028-09-30,500,0.15,15000,0.91,0.22
SUP-025,Austin Power Systems,Battery Cells,Power Components,Austin,United States,AVL,28,Tier 2,2027-11-30,3000,0.20,65000,0.87,0.25
SUP-026,Wuhan Substrate Materials,Semiconductor Substrates,Semiconductor Materials,Wuhan,China,AVL,35,Tier 1,2027-06-30,2000,0.30,45000,0.84,0.64
SUP-027,Busan Flex Manufacturing,Flexible Printed Circuits,Interconnect,Busan,South Korea,AVL,22,Tier 2,2027-09-30,4500,0.20,110000,0.91,0.28
SUP-028,Hanoi Circuit Works,MLCC Capacitors,Passive Components,Hanoi,Vietnam,Non-AVL,30,Tier 3,2026-10-31,18000,0.10,140000,0.71,0.50
SUP-029,Singapore Advanced Materials,RF Front-End Modules,RF Components,Singapore,Singapore,AVL,32,Tier 1,2028-04-30,800,0.25,28000,0.95,0.18
SUP-030,Guadalajara Electronics,Connector Assemblies,Interconnect,Guadalajara,Mexico,AVL,28,Tier 2,2027-08-31,10000,0.15,120000,0.83,0.30
SUP-031,Hsinchu Application Processor Foundry,Application Processor SoC,Semiconductor Logic,Hsinchu,Taiwan,AVL,56,Tier 1,2028-12-31,500,0.45,40000,0.96,0.42
SUP-032,Pyeongtaek Mobile Logic,Application Processor SoC,Semiconductor Logic,Pyeongtaek,South Korea,AVL,60,Tier 1,2028-09-30,400,0.35,32000,0.94,0.35
SUP-033,Suzhou SoC Packaging,Application Processor SoC,Semiconductor Logic,Suzhou,China,Non-AVL,48,Tier 3,2026-12-31,600,0.10,18000,0.72,0.74
SUP-034,Sony Imaging Devices KK,CMOS Image Sensors,Camera Components,Kumamoto,Japan,AVL,42,Tier 1,2028-03-31,1200,0.50,55000,0.97,0.25
SUP-035,Hwaseong Pixel Systems,CMOS Image Sensors,Camera Components,Hwaseong,South Korea,AVL,38,Tier 1,2027-11-30,1500,0.30,48000,0.93,0.30
SUP-036,Shenzhen OmniSensor Tech,CMOS Image Sensors,Camera Components,Shenzhen,China,Non-AVL,32,Tier 3,2026-10-31,2000,0.10,30000,0.74,0.68
SUP-037,Pyeongtaek Mobile DRAM,LPDDR5 Mobile DRAM,Memory Components,Pyeongtaek,South Korea,AVL,28,Tier 1,2028-02-28,5000,0.40,140000,0.95,0.32
